symbol,effective_from,effective_to,instrument_type,classification_source,classification_confidence,classification_rule,observed_sector,pit_eligible_row_count,c5_loss_contribution,extreme_target_count,review_priority,review_reason
AGL,2020-01-01,2025-05-02,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0805,1541,0.014090669497697786,7,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target|multiple_classification_intervals
ASC,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0810,1576,0.01849556532326413,34,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target
BNL,2020-09-10,2021-02-12,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0835,833,0.015410069303748173,27,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target|multiple_classification_intervals
CWSM,2020-01-01,2025-12-29,ordinary_equity,sector_prefix_inference,low,sector_prefix:08,0830,430,0.0318752556273168,110,1,top_c5_squared_loss|extreme_c4_target
HBLTETF,2022-09-12,2026-07-10,ETF,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ETF,0837,336,0.07700474438854377,19,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target
KOIL,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0829,264,0.020407022750469857,68,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target
KOSM,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0830,1271,0.02125203649702615,41,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target
P01GIS150825,2024-08-20,2025-08-08,debt_security,observed_sector_rule,low,sector_exact:36,36,23,0.7268033522968445,0,1,top_c5_squared_loss|classification_rule_conflict|special_security_entered_pit_universe|short_interval_or_maturity_like_ticker
P01GIS250425,2024-04-30,2025-04-21,debt_security,observed_sector_rule,low,sector_exact:36,36,13,0.012195575922127685,0,1,top_c5_squared_loss|classification_rule_conflict|special_security_entered_pit_universe|short_interval_or_maturity_like_ticker
PACE,2020-01-01,2022-08-02,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,1254,0.017896123850609014,30,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target|multiple_classification_intervals
PAKD,2020-01-02,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0828,492,0.01872786374237574,68,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target
PHDL,2020-01-01,2025-01-20,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0818,278,0.5665216329729792,125,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target
PREMA,2020-01-01,2026-07-10,ordinary_equity,psx_security_master_snapshot,current_snapshot,psx_master:2026-08-01:ordinary_equity,0810,1440,0.015354880059020803,17,1,top_c5_squared_loss|classification_rule_conflict|extreme_c4_target
