review_as_of,notice_date,effective_from,effective_to,notice_no,source_url,symbol,source_type
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,ATRL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,AVN,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,CHCC,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,CNERGY,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,DAWH,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,DGKC,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,EFERT,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,ENGRO,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,EPCL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,FCCL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,GGL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,LUCK,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,MARI,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,MEBL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,MLCF,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,MTL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,NML,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,NRL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,OGDC,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,PAEL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,PIOC,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,POL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,PPL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,PSO,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,SEARL,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,SYS,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,TELE,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,TPLP,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,TREET,official_psx_recomposition_notice
2022-06-30,2022-12-23,2022-12-30,2023-07-06,PSX/N-1302,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_1302_Dec_23_2022_KMI_30_Index_Re-composition_for_the_period_June-22.pdf,UNITY,official_psx_recomposition_notice
2022-12-31,2023-06-23,2023-07-07,2024-06-13,PSX/N-653,https://www.psx.com.pk/psx/themes/psx/uploads/Notice_No._653_KMI_30_Index_Recomposition_-Dec-22_.pdf,SYS,official_psx_recomposition_notice
