symbol,company_name,effective_from,shariah_compliant,index_member,source_row_number,pdf_page,final_shariah_status,source_notice_no,source_notice_date,source_url,source_type
ABOT,Abbott Lab (Pakistan) Ltd*,2022-01-03,True,True,1,4,Compliant,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
ACPL,Attock Cement Pakistan Ltd,2022-01-03,True,True,23,4,Compliant,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
ADAMS,Adam Sugar Mills Ltd*,2022-01-03,True,True,3,4,Compliant1,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
ADOS,Ados Pakistan Ltd,2022-01-03,True,True,4,4,Compliant,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
AGHA,Agha Steel Ind Ltd,2022-01-03,True,True,5,4,Compliant,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
AGIL,Agriauto Industries Ltd,2022-01-03,True,True,7,4,Compliant,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
AGP,AGP Limited*,2022-01-03,True,True,6,4,Compliant,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
AGSML,Abdullah Shah Ghazi Sugar Mills*,2022-01-03,True,True,2,4,Compliant1,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
AGTL,Al-Ghazi Tractors Ltd,2022-01-03,True,True,11,4,Compliant,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
AHTM,Ahmed Hassan Textile Mills Ltd,2022-01-03,True,True,8,4,Compliant,PSX/N-1504,2021-12-24,https://www.psx.com.pk/psx/themes/psx/uploads/sharia_KMI_All_Share_list_June_2021_Final_27122021.pdf,official_psx_recomposition
