symbol,effective_from,effective_to,screening_snapshot_date,membership_source,membership_confidence,source_id,source_note,is_exact_index_membership,is_shariah_screened_eligible
ABOT,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ACPL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ADAMS,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ADOS,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AGHA,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AGIL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AGP,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AGSML,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AGTL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AHTM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AKGL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ANL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ANTM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
APL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ARM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ARPL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ASC,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ASHT,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ASL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ASTM,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ATBA,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ATLH,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
ATRL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AVN,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AWTX,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
AWWAL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BATA,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BCML,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BERG,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BFMOD,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
BGL,2022-01-03,2022-07-15,2022-01-03,official_full_screening_table,high,review_2021_h1,"Directly parsed compliant rows from official PSX screening table; includes compliant defaulter rows because this artifact is a screening universe, not exact index membership.",False,True
