,"PSX-KMI All Shares Recomposition for June 30, 2021",,,,,,,,,,
Incoming,,,,,,,,,Outgoing,,
Sr. no,,Ticker,,,Company Name,,,Sr. no,Ticker,Company Name,
1,,ANL,,,Azgard Nine Limited,,,1,AABS,AL-Abbas Sugar Mills Limited,
2,,CNERGY,,,Cnergyi Co PK Ltd,,,2,ALNRS,AL-Noor Sugar Mills Limited,
3,,CLVL,,,Cordoba Log. & Ventures. Limited,,,3,ADMM,Artistic Denim Mills Limited,
4,,DAWH,,,Dawood Hercules Corp Limited,,,4,BAFS,Baba Farid Sugar Mills Limited,
5,,DFSM,,,Dewan Farooque Spinning Mills Limited,,,5,CHAS,Chashma Sugar Mills Limited,
6,,FZCM,,,Fazal Cloth Mills Limited,,,6,MRNS,Mehran Sugar Mills Limited,
7,,,FANM,,,First AL-Noor Modaraba,,7,MIRKS,Mirpurkhas Sugar Mills Limited,
8,,,PAKM,,,First Pak Modaraba,,8,SEPL,Security Papers Limited,
9,,PMI,,,First Prudential Modaraba,,,9,SHSML,Shahmurad Sugar Mills Limited,
10,,GADT,,,Gadoon Textile Mills Limited,,,10,SINDM,Sindh Modaraba,
11,,GGGL,,,Ghani Global Glass Limited,,,11,PMRS,The Premier Sugar Mills Limited,
12,,,GFIL,,,Ghazi Fabrics International Limited,,12,TICL,The Thal Industries Corp. Limited,
13,,HINO,,,Hinopak Motors Limited,,,13,CLOV,Clover Pakistan Limited,
14,,IDRT,,,Idrees Textile Mills Limited,,,,,,
15,,JKSM,,,J. K. Spinning Mills Limited,,,,,,
16,,KASBM,,,KASB Modaraba,,,,,,
17,,KOHE,,,Kohinoor Energy Limited,,,,,,
18,,MFFL,,,Mithchells Fruit Farms Limitd,,,,,,
19,,NATM,,,Nadeem Textile Mills Limited,,,,,,
20,,NRSL,,,Nimir Resins Limited,,,,,,
21,,OTSU,,,Otsuka Pakistan Limited,,,,,,
22,,PSEL,,,Pak. Services Limited,,,,,,
