23,PTC,Pakistan Telecommunication Co. Ltd
24,PIOC,Pioneer Cement Limited
25,RCML,Relinace Cotton Spinning Mills Limited
26,SGABL,S.G. Allied Bus Limited
27,SFL,Sapphire Fibres Limited
28,SSML,Saritow Spinning Mills Limited
29,SGF,Service Global Footwear Limited
30,SHDT,Shadab Textile Mills Ltd
31,SHEZ,Shezan Int. Limited
32,STPL,Siddiqsons Tin Plate Limited
33,TATM,Tata Textile Mills Limited
34,TELE,Telecard Limited
35,TREET,Treet Corp. Limited
36,WYETH,Wyeth Pakistan Limited
37,ZTL,Zephyr Textiles Limited
