source_id,effective_from,sequence,page_number,incoming_symbol,outgoing_symbol,raw_cells_json
review_2022_h1,2023-01-12,1,2,AGSML,HUBC,"[""1"", """", """", ""AGSML"", """", ""Abdullah Shah Ghazi Sugar Mills Ltd"", """", ""HUBC"", """", ""Hub Power Company Ltd."", """"]"
review_2022_h1,2023-01-12,2,2,ASTL,INKL,"[""2"", """", """", ""ASTL"", """", ""Amreli Steels Ltd"", """", ""INKL"", """", ""International Knitwear Ltd."", """"]"
review_2022_h1,2023-01-12,3,2,ATBA,KOHP,"[""3"", """", """", ""ATBA"", """", ""Atlas Battery Ltd"", """", ""KOHP"", """", ""Kohinoor Power Co Ltd."", """"]"
review_2022_h1,2023-01-12,4,2,CPHL,KOIL,"[""4"", """", """", ""CPHL"", """", ""Citi Pharma Ltd"", """", ""KOIL"", """", ""Kohinoor Industries Ltd."", """"]"
review_2022_h1,2023-01-12,5,2,EPQL,MIRKS,"[""5"", """", """", ""EPQL"", """", ""Engro Powergen Qadirpur Ltd *"", """", ""MIRKS"", """", ""Mirpurkhas Sugar Mills Ltd."", """"]"
review_2022_h1,2023-01-12,6,2,GTYR,OCTOPUS,"[""6"", """", """", ""GTYR"", """", ""General Tyre & Rubber Co. Ltd"", """", ""OCTOPUS"", """", ""Octopus Digital Ltd"", """"]"
review_2022_h1,2023-01-12,7,2,HABSM,PAKD,"[""7"", """", """", ""HABSM"", """", ""Habib Sugar Mills Ltd *"", """", ""PAKD"", """", ""Pak Datacom Ltd."", """"]"
review_2022_h1,2023-01-12,8,2,ILP,PMRS,"[""8"", """", """", ""ILP"", """", ""Interloop Ltd"", """", ""PMRS"", """", ""Premier Sugar Mills & Distille"", """"]"
review_2022_h1,2023-01-12,9,2,JVDC,SAPT,"[""9"", """", """", ""JVDC"", """", ""Javedan Corporation Ltd"", """", ""SAPT"", """", ""Sapphire Textile Mills Ltd."", """"]"
review_2022_h1,2023-01-12,10,2,MODAM,AABS,"[""10"", """", """", ""MODAM"", """", ""Modaraba al Mali"", """", ""AABS"", """", ""Al-Abbas Sugar Mills Ltd."", """"]"
review_2022_h1,2023-01-12,11,2,NETSOL,ALNRS,"[""11"", """", """", ""NETSOL"", """", ""NetSol Technologies Ltd"", """", ""ALNRS"", """", ""Al-Noor Sugar Mills Ltd."", """"]"
review_2022_h1,2023-01-12,12,2,NCL,BGL,"[""12"", """", """", ""NCL"", """", ""Nishat (Chunian) Ltd"", """", ""BGL"", """", ""Balochistan Glass Ltd."", """"]"
review_2022_h1,2023-01-12,13,2,PICT,CHAS,"[""13"", """", """", ""PICT"", """", ""Pakistan International Container Terminal"", """", ""CHAS"", """", ""Chashma Sugar Mills Ltd."", """"]"
review_2022_h1,2023-01-12,14,2,PRL,DSIL,"[""14"", """", """", ""PRL"", """", ""Pakistan Refinery Ltd"", """", ""DSIL"", """", ""D. S. Industries Ltd."", """"]"
review_2022_h1,2023-01-12,15,2,SGPL,FANM,"[""15"", """", """", ""SGPL"", """", ""SG Power Ltd."", """", ""FANM"", """", ""First Al-Noor Mod."", """"]"
review_2022_h1,2023-01-12,16,2,TATM,YOUW,"[""16"", """", """", ""TATM"", """", ""TATA Textile Mills Ltd."", """", ""YOUW"", """", ""Yousuf Weaving Mills Ltd."", """"]"
review_2022_h1,2023-01-12,17,2,TPL,SHSML,"[""17"", """", """", ""TPL"", """", ""TPL Corporation Ltd"", """", ""SHSML"", """", ""Shahmurad Sugar Mills Ltd."", """"]"
review_2022_h1,2023-01-12,18,2,TPLP,SINDM,"[""18"", """", """", ""TPLP"", """", ""TPL Properties Ltd"", """", ""SINDM"", """", ""Sindh Modaraba."", """"]"
review_2022_h1,2023-01-12,19,2,TPLT,SSOM,"[""19"", """", """", ""TPLT"", """", ""TPL Trakker Limited"", """", ""SSOM"", """", ""S .S . Oil Mills Ltd."", """"]"
review_2022_h1,2023-01-12,20,2,UCAPM,STPL,"[""20"", """", """", ""UCAPM"", """", ""Unicap Modaraba"", """", ""STPL"", """", ""Siddiqsons Tin Plate Ltd."", """"]"
review_2022_h1,2023-01-12,21,2,AWTX,TICL,"[""21"", """", """", ""AWTX"", """", ""Allawasaya Textile Mills Ltd"", """", ""TICL"", """", ""Thal Industries Corporation Ltd."", """"]"
review_2022_h1,2023-01-12,22,2,FZCM,,"[""22"", """", """", ""FZCM"", """", ""Fazal Cloth Mills Ltd"", """", """", """", """", """"]"
review_2022_h1,2023-01-12,23,2,IDSM,,"[""23"", """", """", ""IDSM"", """", ""Ideal Spinning Mills Ltd."", """", """", """", """", """"]"
review_2022_h1,2023-01-12,24,2,KOHTM,,"[""24"", """", """", ""KOHTM"", """", ""Kohat Textile Mills Ltd"", """", """", """", """", """"]"
review_2022_h1,2023-01-12,25,2,NATM,,"[""25"", """", """", ""NATM"", """", ""Nadeem Textile Mills Ltd."", """", """", """", """", """"]"
review_2022_h1,2023-01-12,26,2,OML,,"[""26"", """", """", ""OML"", """", ""Olympia Mills Ltd"", """", """", """", """", """"]"
review_2022_h1,2023-01-12,27,2,QUET,,"[""27"", """", """", ""QUET"", """", ""Quetta Textile Mills Ltd."", """", """", """", """", """"]"
review_2022_h1,2023-01-12,28,2,SHCM,,"[""28"", """", """", ""SHCM"", """", ""Shadman Cotton Mills"", """", """", """", """", """"]"
review_2022_h1,2023-01-12,29,2,HCL,,"[""29"", """", """", ""HCL"", """", ""Hallmark Company Ltd."", """", """", """", """", """"]"
review_2022_h1,2023-01-12,30,2,DIIL,,"[""30"", """", """", ""DIIL"", """", ""Diamond Industries Ltd"", """", """", """", """", """"]"
